실행모드,파일수,디렉토리깊이,부합비율,심볼릭포함,실행시간(초),UserTime,SysTime,CPU(%),MaxMemory(KB)
multi,500,3,0,include,,0.35,0.21,183,2640
multi,500,3,50,include,,2.36,40.59,103,1104152
multi,500,3,100,include,,3.37,47.89,72,1378680
