실행모드,파일수,디렉토리깊이,부합비율,심볼릭포함,실행시간(초),UserTime,SysTime,CPU(%),MaxMemory(KB)
multi,500,3,0,include,,0.17,0.09,176,2704
multi,500,3,50,include,,0.63,2.58,143,1109120
multi,500,3,100,include,,2.04,23.57,77,1585556
