실행모드,파일수,디렉토리깊이,부합비율,심볼릭포함,실행시간(초),UserTime,SysTime,CPU(%),MaxMemory(KB)
multi,500,3,0,include,,0.08,0.05,159,2796
multi,500,3,50,include,,0.47,2.01,147,1109184
multi,500,3,100,include,,1.42,16.75,35,2214808
