실행모드,파일수,디렉토리깊이,부합비율,심볼릭포함,실행시간(초),UserTime,SysTime,CPU(%),MaxMemory(KB)
multi,500,3,0,include,,0.16,0.09,163,2680
multi,500,3,50,include,,1.83,50.64,105,935976
multi,500,3,100,include,,2.79,43.61,63,1817712
