실행모드,파일수,디렉토리깊이,부합비율,심볼릭포함,실행시간(초),UserTime,SysTime,CPU(%),MaxMemory(KB)
multi,500,3,0,include,,0.00,0.03,42,2904
multi,500,3,50,include,,0.13,0.79,94,1109116
multi,500,3,100,include,,0.80,8.87,107,1971460
