실행모드,파일수,디렉토리깊이,부합비율,심볼릭포함,실행시간(초),UserTime,SysTime,CPU(%),MaxMemory(KB)
multi,500,3,0,include,,0.02,0.05,165,2936
multi,500,3,50,include,,0.18,0.78,180,1109492
multi,500,3,100,include,,0.30,1.39,183,2215924
