실행모드,파일수,디렉토리깊이,부합비율,심볼릭포함,실행시간(초),UserTime,SysTime,CPU(%),MaxMemory(KB)
multi,500,3,0,include,,0.03,0.03,136,2968
multi,500,3,50,include,,0.23,0.64,173,1109708
multi,500,3,100,include,,0.36,1.17,165,2216088
