실행모드,파일수,디렉토리깊이,부합비율,심볼릭포함,실행시간(초),UserTime,SysTime,CPU(%),MaxMemory(KB)
multi,500,3,0,include,,0.05,0.01,89,2856
multi,500,3,50,include,,0.45,0.63,95,1109288
multi,500,3,100,include,,0.86,3.46,59,2215660
