실행모드,파일수,디렉토리깊이,부합비율,심볼릭포함,실행시간(초),UserTime,SysTime,CPU(%),MaxMemory(KB)
multi,100,1,0,include,,0.01,0.00,127,2932
multi,100,1,0,exclude,,0.00,0.01,143,2932
multi,100,1,50,include,,0.13,0.13,163,224116
multi,100,1,50,exclude,,0.09,0.14,154,224116
multi,100,1,100,include,,0.09,0.32,169,445428
multi,100,1,100,exclude,,0.11,0.32,168,445428
multi,100,3,0,include,,0.01,0.00,123,2932
multi,100,3,0,exclude,,0.00,0.01,96,2932
multi,100,3,50,include,,0.07,0.18,158,224116
multi,100,3,50,exclude,,0.02,0.20,172,224116
multi,100,3,100,include,,0.07,0.34,171,445300
multi,100,3,100,exclude,,0.18,0.23,176,445428
multi,500,1,0,include,,0.03,0.03,118,2932
multi,500,1,0,exclude,,0.06,0.03,150,2932
multi,500,1,50,include,,0.21,0.97,183,1109364
multi,500,1,50,exclude,,0.15,1.03,182,1109364
multi,500,1,100,include,,0.30,2.83,151,2215796
multi,500,1,100,exclude,,0.33,1.93,182,2215796
multi,500,3,0,include,,0.03,0.03,132,2928
multi,500,3,0,exclude,,0.06,0.03,162,2928
multi,500,3,50,include,,0.26,0.97,183,1109364
multi,500,3,50,exclude,,0.27,0.91,180,1109364
multi,500,3,100,include,,0.23,1.98,182,2215796
multi,500,3,100,exclude,,0.42,1.87,172,2216052
