실행모드,파일수,디렉토리깊이,부합비율,심볼릭포함,실행시간(초),UserTime,SysTime,CPU(%),MaxMemory(KB)
multi,100,1,0,include,,0.01,0.01,118,2932
multi,100,1,0,exclude,,0.01,0.00,77,2804
multi,100,1,50,include,,0.11,0.23,175,224244
multi,100,1,50,exclude,,0.05,0.24,158,224116
multi,100,1,100,include,,0.14,0.46,165,445428
multi,100,1,100,exclude,,0.11,0.34,171,445428
multi,100,3,0,include,,0.01,0.01,114,2932
multi,100,3,0,exclude,,0.01,0.00,115,2932
multi,100,3,50,include,,0.04,0.22,170,224116
multi,100,3,50,exclude,,0.05,0.20,171,224244
multi,100,3,100,include,,0.11,0.37,171,445428
multi,100,3,100,exclude,,0.02,0.22,99,445428
multi,500,1,0,include,,0.07,0.02,163,2932
multi,500,1,0,exclude,,0.04,0.05,166,2932
multi,500,1,50,include,,0.35,1.15,180,1109492
multi,500,1,50,exclude,,0.27,0.90,172,1109364
